,obs_dm_all,pred_dm_all,obs_dm_10yrs,pred_dm_10yrs,obs_dm_5yrs,pred_dm_5yrs,obs_ad_all,pred_ad_all,obs_ad_10yrs,pred_ad_10yrs,obs_ad_5yrs,pred_ad_5yrs
0,0.29,0.0,0.21,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0
1,0.3,0.16,0.1,0.08,0.0,0.0,0.16,0.02,0.0,0.03,0.0,0.0
2,0.56,0.47,0.53,0.34,0.0,0.0,0.43,0.15,0.16,0.16,0.0,0.0
3,1.48,1.65,0.86,1.2,0.09,0.0,0.32,0.55,0.35,0.46,0.0,0.0
4,2.39,2.9,1.93,2.09,0.22,0.2,0.91,0.8,0.74,0.67,0.0,0.01
5,4.02,3.79,2.81,2.67,0.44,0.48,1.44,1.41,1.14,1.01,0.13,0.05
6,7.83,8.23,5.17,5.93,0.75,0.72,2.53,3.19,1.89,2.4,0.18,0.15
7,12.2,13.2,8.17,8.85,1.66,1.31,4.88,5.33,3.42,3.65,0.5,0.45
8,21.8,21.1,15.1,15.0,2.67,2.9,8.95,9.32,5.79,6.39,0.8,0.8
9,57.7,57.6,44.2,43.1,9.64,10.5,28.6,28.0,20.7,20.5,4.55,5.19
